layer_idx,avg_pairwise_cos,min_pairwise_cos
1,1.0000000635782877,1.0000000288089117
2,1.0000000814596812,1.000000038743019
3,1.0000000754992167,1.0000000456968943
4,0.9999999850988388,0.9999999821186065
5,0.9999999473492305,0.9999999364217123
6,1.000000110268593,1.0000000685453414
7,1.000000038743019,0.999999996026357
8,1.0000000476837159,1.0000000168879828
9,0.9999999940395355,0.9999999701976776
10,0.9999999006589254,0.999999878803889
11,0.9999999682108561,0.9999999513228734
12,0.9999999354283015,0.9999999036391576
13,1.0000000804662705,1.0000000377496083
14,1.0000000645716984,1.0000000407298406
15,0.9999999443689982,0.9999999374151229
16,0.9999999374151229,0.9999999086062114
17,1.000000030795733,0.9999999990065892
18,1.0000000814596812,1.000000038743019
19,1.0000000248352687,0.9999999890724818
20,1.0000000149011612,0.9999999940395355
21,1.0000000218550364,0.999999996026357
22,1.000000038743019,1.0000000149011612
23,1.0000000546375911,1.0000000298023224
24,0.9999999324480693,0.9999999076128006
25,0.9999999980131785,0.9999999662240346
26,1.0000000615914664,1.0000000238418578
27,1.0000000218550364,0.999999996026357
28,0.9999999423821767,0.999999929467837
