dataset,test_prevalence,view,config,accuracy,macro_f1,positive_precision,positive_recall,positive_f1,roc_auc,pr_auc,epoch_mean,epoch_values
gpqa,0.05000000000000001,ensemble,default_h128d1,0.4916666666666667,0.38190748521630874,0.10960735171261486,1.0,0.19509803921568628,0.9583333333333334,0.41984126984126985,,
gpqa,0.05000000000000001,ensemble,retrain_h256d2,0.725,0.5487179487179488,0.15384615384615385,1.0,0.26666666666666666,0.9583333333333334,0.5025252525252525,5.333333333333333,4;7;5
gpqa,0.05000000000000001,ensemble,delta_retrain_minus_default,0.23333333333333328,0.16681046350164003,0.04423880213353899,0.0,0.07156862745098039,0.0,0.08268398268398264,,
gpqa,0.05000000000000001,last_layer,default_h128d1,0.5166666666666667,0.41386800334168755,0.21451355661881977,0.8333333333333334,0.25555555555555554,0.5350877192982456,0.2297686618507052,,
gpqa,0.05000000000000001,last_layer,retrain_h256d2,0.4083333333333334,0.33748691395750213,0.10647653000594177,1.0,0.18624338624338624,0.8947368421052632,0.3175925925925926,9.0,6;15;6
gpqa,0.05000000000000001,last_layer,delta_retrain_minus_default,-0.10833333333333334,-0.07638108938418542,-0.10803702661287799,0.16666666666666663,-0.0693121693121693,0.35964912280701755,0.08782393074188738,,
gpqa,0.05000000000000001,prompt_length,baseline,0.35,0.2857142857142857,0.038461538461538464,0.5,0.07142857142857144,0.4473684210526316,0.06573275862068965,,
aime,0.5833333333333334,ensemble,default_h128d1,0.8055555555555557,0.7980283605283606,0.9259259259259259,0.7619047619047619,0.8118686868686869,0.8904761904761905,0.9218253968253967,,
aime,0.5833333333333334,ensemble,retrain_h256d2,0.6944444444444445,0.684019684019684,1.0,0.4761904761904761,0.632996632996633,0.8761904761904762,0.9089500446643303,5.666666666666667,4;9;4
aime,0.5833333333333334,ensemble,delta_retrain_minus_default,-0.11111111111111116,-0.11400867650867652,0.07407407407407407,-0.28571428571428575,-0.17887205387205385,-0.014285714285714346,-0.012875352161066389,,
aime,0.5833333333333334,last_layer,default_h128d1,0.5555555555555556,0.39144736842105265,0.7222222222222223,0.7142857142857143,0.5745614035087719,0.7999999999999999,0.9043083900226757,,
aime,0.5833333333333334,last_layer,retrain_h256d2,0.75,0.7494172494172494,0.8777777777777778,0.6666666666666666,0.7564102564102564,0.7238095238095239,0.8479385693671407,11.0,12;6;15
aime,0.5833333333333334,last_layer,delta_retrain_minus_default,0.19444444444444442,0.35796988099619675,0.15555555555555545,-0.04761904761904767,0.18184885290148445,-0.07619047619047603,-0.056369820655534975,,
aime,0.5833333333333334,prompt_length,baseline,0.6666666666666666,0.6666666666666666,0.8,0.5714285714285714,0.6666666666666666,0.8571428571428571,0.8976190476190475,,
math500,0.04,ensemble,default_h128d1,0.5866666666666667,0.44423558897243104,0.09114959114959115,1.0,0.16666666666666666,0.8298611111111112,0.13539449523231653,,
math500,0.04,ensemble,retrain_h256d2,0.5133333333333333,0.40077738036875193,0.07606632361349343,1.0,0.1413640818933712,0.8628472222222223,0.15959054561995736,9.333333333333334,12;8;8
math500,0.04,ensemble,delta_retrain_minus_default,-0.07333333333333336,-0.043458208603679105,-0.01508326753609772,0.0,-0.025302584773295445,0.03298611111111116,0.024196050387640833,,
math500,0.04,last_layer,default_h128d1,0.7366666666666667,0.4682095302283497,0.060123784261715295,0.5833333333333334,0.10822510822510822,0.771701388888889,0.15057804113611736,,
math500,0.04,last_layer,retrain_h256d2,0.49,0.3841913670319561,0.07587282009113645,1.0,0.14070863433092537,0.7977430555555555,0.13220174696940948,11.0,15;7;11
math500,0.04,last_layer,delta_retrain_minus_default,-0.2466666666666667,-0.0840181631963936,0.015749035829421158,0.41666666666666663,0.032483526105817145,0.02604166666666652,-0.018376294166707885,,
math500,0.04,prompt_length,baseline,0.64,0.45750452079566006,0.07894736842105263,0.75,0.14285714285714285,0.7395833333333334,0.1001984126984127,,
mmlu_pro,0.012500000000000002,ensemble,default_h128d1,0.8833333333333333,0.5623921213966615,0.11717171717171719,0.8333333333333334,0.18888888888888888,0.9636075949367089,0.18373015873015874,,
mmlu_pro,0.012500000000000002,ensemble,retrain_h256d2,0.8541666666666666,0.5336184341110449,0.07936507936507936,1.0,0.147008547008547,0.9694092827004219,0.20226070226070225,6.666666666666667,12;1;7
mmlu_pro,0.012500000000000002,ensemble,delta_retrain_minus_default,-0.029166666666666674,-0.028773687285616578,-0.03780663780663783,0.16666666666666663,-0.04188034188034187,0.005801687763713037,0.01853054353054351,,
mmlu_pro,0.012500000000000002,last_layer,default_h128d1,0.5416666666666666,0.35714930542674167,0.02499145299145299,0.8333333333333334,0.048264226609754025,0.8259493670886077,0.055852466442552984,,
mmlu_pro,0.012500000000000002,last_layer,retrain_h256d2,0.8645833333333334,0.492017484175584,0.033011272141706925,0.5,0.061111111111111116,0.9018987341772151,0.0958774250440917,11.0,15;15;3
mmlu_pro,0.012500000000000002,last_layer,delta_retrain_minus_default,0.32291666666666674,0.13486817874884233,0.008019819150253935,-0.33333333333333337,0.01284688450135709,0.07594936708860744,0.04002495860153872,,
mmlu_pro,0.012500000000000002,prompt_length,baseline,0.5875,0.3965714285714286,0.029411764705882353,1.0,0.05714285714285715,0.8734177215189873,0.11036036036036036,,
livecodebench,0.3375000000000001,ensemble,default_h128d1,0.7583333333333333,0.7473795119710372,0.6091274098139577,0.8271604938271605,0.6975615259773135,0.8561320754716982,0.711050462070169,,
livecodebench,0.3375000000000001,ensemble,retrain_h256d2,0.7541666666666668,0.7056826578484676,0.6765725738508882,0.5493827160493827,0.5894683512238371,0.8475133938970417,0.686477446209869,6.666666666666667,3;3;14
livecodebench,0.3375000000000001,ensemble,delta_retrain_minus_default,-0.004166666666666541,-0.04169685412256963,0.06744516403693046,-0.2777777777777778,-0.10809317475347635,-0.008618681574656506,-0.02457301586030003,,
livecodebench,0.3375000000000001,last_layer,default_h128d1,0.7208333333333333,0.7138471831055507,0.5674401835463783,0.8888888888888888,0.6860991932708963,0.8550547402748659,0.711564036268643,,
livecodebench,0.3375000000000001,last_layer,retrain_h256d2,0.7520833333333333,0.7396255203662419,0.6013541491802362,0.7901234567901234,0.6827834054550223,0.8664686699277894,0.7574802128639501,15.0,15;15;15
livecodebench,0.3375000000000001,last_layer,delta_retrain_minus_default,0.03125,0.02577833726069112,0.033913965633857956,-0.09876543209876543,-0.0033157878158740495,0.011413929652923427,0.04591617659530711,,
livecodebench,0.3375000000000001,prompt_length,baseline,0.65625,0.6461742591773552,0.4936708860759494,0.7222222222222222,0.5864661654135338,0.7203004891684137,0.5760332068574129,,
