dataset,dataset_name,feature,spearman,top_10p_capture,top_20p_capture
gpqa,GPQA,prompt_token_count,0.11643289508743641,0.07008307573415763,0.1679274773861707
gpqa,GPQA,char_length,-0.04587887646878034,0.057762656143106876,0.17741245850964094
gpqa,GPQA,newline_count,0.22818948332682923,0.11302163833075732,0.2417779410646869
gpqa,GPQA,digit_count,0.38898372333699643,0.07338488484049964,0.2261929270023057
gpqa,GPQA,dollar_count,0.15226648966782177,0.11403197608128306,0.18068022018395108
gpqa,GPQA,choice_count,,0.06664824410266802,0.21515601641878018
aime,AIME,prompt_token_count,0.6760080419465041,0.2230565145476949,0.3055226846352808
aime,AIME,char_length,0.6713286713286714,0.2230565145476949,0.3319782866911626
aime,AIME,newline_count,-0.21835657337057335,0.12471165480723333,0.1685523350687699
aime,AIME,digit_count,0.09138967094979739,0.2230565145476949,0.26689719480923146
aime,AIME,dollar_count,0.47268151829098154,0.2126339042882675,0.29510007437585334
aime,AIME,choice_count,,0.09900869198405915,0.1685523350687699
math500,MATH-500,prompt_token_count,0.4609147657183268,0.15115167061963916,0.2898497300765917
math500,MATH-500,char_length,0.3957466345179036,0.14710107153650087,0.2784367359971164
math500,MATH-500,newline_count,0.4569862757848403,0.16421900891613464,0.26504311238897565
math500,MATH-500,digit_count,0.1384128645496862,0.13843198155400377,0.2585585802549222
math500,MATH-500,dollar_count,0.28897100878635557,0.15422419063763143,0.26905914076647536
math500,MATH-500,choice_count,,0.12789451972744303,0.23149554426332167
mmlu_pro,MMLU-Pro,prompt_token_count,0.39305748822881714,0.1692602309307568,0.29165105051760065
mmlu_pro,MMLU-Pro,char_length,0.31241915473884957,0.16404229794414474,0.2983279168827259
mmlu_pro,MMLU-Pro,newline_count,0.12832018143345375,0.1562731568237866,0.24638218749304772
mmlu_pro,MMLU-Pro,digit_count,0.2427560895985152,0.17907572933833749,0.27925824575454683
mmlu_pro,MMLU-Pro,dollar_count,0.16772603594162278,0.16834636533060893,0.3002519120156215
mmlu_pro,MMLU-Pro,choice_count,,0.1294630098351791,0.22235856047343042
livecodebench,LiveCodeBench,prompt_token_count,0.4049523277144553,0.1369146297210031,0.2477733343738979
livecodebench,LiveCodeBench,char_length,0.3864118118451641,0.14707418480555132,0.2454043468436853
livecodebench,LiveCodeBench,newline_count,0.19995311767936125,0.12301364029478297,0.23481907140338146
livecodebench,LiveCodeBench,digit_count,0.23421058346838353,0.11136821515367765,0.20762239971143492
livecodebench,LiveCodeBench,dollar_count,,0.09068712133975333,0.18782825523755464
livecodebench,LiveCodeBench,choice_count,,0.09068712133975333,0.18782825523755464
