dataset_key,dataset_name,score_name,score_variant,target_name,feature_set_key,feature_set_label,bucket_prompt_count,bucket_rollout_count,bucket_bucket_fraction,bucket_min_score,bucket_max_score,bucket_mean_score,bucket_loop_rate,bucket_cap_rate,bucket_accuracy,bucket_loop_rate_enrichment,bucket_cap_rate_enrichment,bucket_accuracy_delta
gpqa,GPQA,majority_s_0.5,ensemble,majority_s_0.5,,,8,32.0,0.2,0.6428571343421936,0.7857142686843872,0.6874999850988388,0.25,0.125,0.375,1.8181818181818181,2.857142857142857,0.03749999999999998
gpqa,GPQA,p_loop,ensemble,p_loop,,,8,32.0,0.2,0.1420363336801529,0.1732143610715866,0.1551522295922041,0.25,0.09375,0.3125,1.8181818181818181,2.142857142857143,-0.025000000000000022
gpqa,GPQA,mean_relative_length,ensemble,mean_relative_length,,,8,32.0,0.2,0.22861231863498688,0.24582579731941223,0.23786178790032864,0.15625,0.09375,0.3125,1.1363636363636362,2.142857142857143,-0.025000000000000022
gpqa,GPQA,metadata_baseline,p_loop,p_loop,effective_budget,effective_budget,8,32.0,0.2,0.16139516721739697,0.16139516721739697,0.16139516721739697,0.125,0.0,0.34375,0.9090909090909091,0.0,0.006249999999999978
aime,AIME,majority_s_0.5,last_layer,majority_s_0.5,,,3,12.0,0.2,0.5634917616844177,0.5831186175346375,0.5702191591262817,0.08333333333333333,0.25,0.3333333333333333,0.7999999999999999,1.5,0.0
aime,AIME,p_loop,ensemble,p_loop,,,3,12.0,0.2,0.12834951281547546,0.13435764610767365,0.13197680314381918,0.3333333333333333,0.4166666666666667,0.0,3.1999999999999997,2.5000000000000004,-0.3333333333333333
aime,AIME,mean_relative_length,ensemble,mean_relative_length,,,3,12.0,0.2,0.6227779388427734,0.6256757974624634,0.624387800693512,0.16666666666666666,0.3333333333333333,0.25,1.5999999999999999,2.0,-0.08333333333333331
aime,AIME,metadata_baseline,p_loop,p_loop,prompt_length,prompt_length,3,12.0,0.2,0.13336718367866524,0.2941769020159652,0.193850470836561,0.08333333333333333,0.3333333333333333,0.25,0.7999999999999999,2.0,-0.08333333333333331
math500,MATH-500,majority_s_0.5,ensemble,majority_s_0.5,,,20,80.0,0.2,0.75,0.7857142686843872,0.7642857074737549,0.0625,0.025,0.7375,2.5,3.3333333333333335,-0.010000000000000009
math500,MATH-500,p_loop,ensemble,p_loop,,,20,80.0,0.2,0.03435571864247322,0.052226126194000244,0.03896966874599457,0.0875,0.025,0.55,3.4999999999999996,3.3333333333333335,-0.1975
math500,MATH-500,mean_relative_length,ensemble,mean_relative_length,,,20,80.0,0.2,0.2637591063976288,0.29386988282203674,0.27299783527851107,0.05,0.025,0.725,2.0,3.3333333333333335,-0.022500000000000075
math500,MATH-500,metadata_baseline,p_loop,p_loop,prompt_length,prompt_length,20,80.0,0.2,0.038717653741877626,0.16565074084716636,0.05342132873463272,0.0375,0.0125,0.6,1.4999999999999998,1.6666666666666667,-0.14750000000000008
mmlu_pro,MMLU-Pro,majority_s_0.5,ensemble,majority_s_0.5,,,32,128.0,0.2,0.25,0.6785714030265808,0.3995535718277097,0.09375,0.0390625,0.6328125,2.608695652173913,3.5714285714285716,-0.059374999999999956
mmlu_pro,MMLU-Pro,p_loop,ensemble,p_loop,,,32,128.0,0.2,0.04758848622441292,0.07114411890506744,0.05409657524432987,0.125,0.0390625,0.515625,3.4782608695652177,3.5714285714285716,-0.17656249999999996
mmlu_pro,MMLU-Pro,mean_relative_length,ensemble,mean_relative_length,,,32,128.0,0.2,0.14411653578281403,0.1510726362466812,0.1457104585133493,0.0859375,0.0390625,0.6171875,2.3913043478260874,3.5714285714285716,-0.07499999999999996
mmlu_pro,MMLU-Pro,metadata_baseline,p_loop,p_loop,prompt_length,prompt_length,32,128.0,0.2,0.049794732042755765,0.2964166680578435,0.08071647154529482,0.0625,0.03125,0.640625,1.7391304347826089,2.857142857142857,-0.051562499999999956
livecodebench,LiveCodeBench,majority_s_0.5,last_layer,majority_s_0.5,,,32,128.0,0.2,0.596930980682373,0.7183049917221069,0.6439522057771683,0.2421875,0.203125,,1.631578947368421,1.7333333333333334,
livecodebench,LiveCodeBench,p_loop,ensemble,p_loop,,,32,128.0,0.2,0.26160338521003723,0.3362882733345032,0.2932492094114423,0.34375,0.28125,,2.3157894736842106,2.4,
livecodebench,LiveCodeBench,mean_relative_length,last_layer,mean_relative_length,,,32,128.0,0.2,0.4816240966320038,0.5749068260192871,0.5098355878144503,0.2578125,0.2109375,,1.736842105263158,1.8,
livecodebench,LiveCodeBench,metadata_baseline,p_loop,p_loop,prompt_length,prompt_length,32,128.0,0.2,0.16406822874897453,0.3325546266653113,0.19008070362076696,0.1875,0.125,,1.263157894736842,1.0666666666666667,
