brier,dataset_key,dataset_name,feature_set_key,feature_set_label,mae,mse,pred_mean,rmse,spearman,target_mean,target_name,top_10p_capture,top_20p_capture
0.04776940188575359,gpqa,GPQA,prompt_length,prompt_length,0.1868374389336089,,0.16022184741964765,0.21856212363022462,-0.11492502164366772,0.1375,p_loop,0.0,0.13636363636363635
0.04728972901634736,gpqa,GPQA,effective_budget,effective_budget,0.1859185501652191,,0.16139516721739697,0.21746201741073626,nan,0.1375,p_loop,0.13636363636363635,0.18181818181818182
0.04776940188575359,gpqa,GPQA,prompt_length_plus_effective_budget,prompt_length + effective_budget,0.1868374389336089,,0.16022184741964762,0.21856212363022462,-0.11492502164366772,0.1375,p_loop,0.0,0.13636363636363635
,gpqa,GPQA,prompt_length,prompt_length,0.13928308556689456,0.027249516890163777,0.29189086075129095,0.16507427688820503,0.11643289508743641,0.2631133333333333,mean_relative_length,0.07008307573415766,0.16792747738617075
,gpqa,GPQA,effective_budget,effective_budget,0.13844302215189874,0.027093707578632675,0.2930004219409283,0.1646016633531772,nan,0.2631133333333333,mean_relative_length,0.11279122431398385,0.15825800668913273
,gpqa,GPQA,prompt_length_plus_effective_budget,prompt_length + effective_budget,0.13928308556689456,0.027249516890163777,0.29189086075129095,0.16507427688820503,0.11643289508743641,0.2631133333333333,mean_relative_length,0.07008307573415766,0.16792747738617075
0.02980024385511278,aime,AIME,prompt_length,prompt_length,0.15155316851439934,,0.13454089381192083,0.17262747132224576,0.45885077842347216,0.10416666666666667,p_loop,0.2,0.2
0.026585241236622786,aime,AIME,effective_budget,effective_budget,0.14931109993460967,,0.13543329980382904,0.16304981213304964,nan,0.10416666666666667,p_loop,0.0,0.0
0.02980024385511278,aime,AIME,prompt_length_plus_effective_budget,prompt_length + effective_budget,0.15155316851439934,,0.13454089381192083,0.17262747132224576,0.45885077842347216,0.10416666666666667,p_loop,0.2,0.2
,aime,AIME,prompt_length,prompt_length,0.14665969047888172,0.030904068974678196,0.5854740493413617,0.17579553172557658,0.6760080419465041,0.6255763888888889,mean_relative_length,0.2230565145476949,0.3055226846352808
,aime,AIME,effective_budget,effective_budget,0.16960321180555557,0.03839511882477937,0.5879140625000001,0.1959467244553462,nan,0.6255763888888889,mean_relative_length,0.1275357170609327,0.18270372878345525
,aime,AIME,prompt_length_plus_effective_budget,prompt_length + effective_budget,0.14665969047888172,0.030904068974678196,0.5854740493413617,0.17579553172557658,0.6760080419465041,0.6255763888888889,mean_relative_length,0.2230565145476949,0.3055226846352808
0.007318350115931616,math500,MATH-500,prompt_length,prompt_length,0.054305366801503226,,0.037608692653808375,0.0855473559844582,0.11860873990077375,0.025,p_loop,0.2,0.3
0.0082518925984274,math500,MATH-500,effective_budget,effective_budget,0.05546231564947898,,0.03626466148747498,0.0908399284369346,nan,0.025,p_loop,0.1,0.2
0.007318350115931612,math500,MATH-500,prompt_length_plus_effective_budget,prompt_length + effective_budget,0.05430536680150321,,0.037608692653808354,0.08554735598445817,0.11860873990077375,0.025,p_loop,0.2,0.3
,math500,MATH-500,prompt_length,prompt_length,0.11532229906272601,0.023806809946726286,0.21102411598376833,0.15429455579094903,0.4609147657183268,0.2145361666666667,mean_relative_length,0.1511516706196391,0.2898497300765916
,math500,MATH-500,effective_budget,effective_budget,0.12245172499999997,0.026734369062059463,0.20026343749999984,0.16350648018369016,nan,0.2145361666666667,mean_relative_length,0.09455476427051536,0.2245340140784343
,math500,MATH-500,prompt_length_plus_effective_budget,prompt_length + effective_budget,0.11532229906272602,0.02380680994672629,0.21102411598376833,0.15429455579094906,0.4609147657183268,0.2145361666666667,mean_relative_length,0.1511516706196391,0.2898497300765916
0.01473757660268947,mmlu_pro,MMLU-Pro,prompt_length,prompt_length,0.06990611085476432,,0.04494618036131953,0.12139842092337721,0.09408688155024274,0.0359375,p_loop,0.2608695652173913,0.34782608695652173
0.01475852830994408,mmlu_pro,MMLU-Pro,effective_budget,effective_budget,0.06885757233931891,,0.0418032664626272,0.12148468343764197,nan,0.0359375,p_loop,0.13043478260869565,0.17391304347826086
0.01473757660268947,mmlu_pro,MMLU-Pro,prompt_length_plus_effective_budget,prompt_length + effective_budget,0.06990611085476432,,0.04494618036131953,0.12139842092337721,0.09408688155024274,0.0359375,p_loop,0.2608695652173913,0.34782608695652173
,mmlu_pro,MMLU-Pro,prompt_length,prompt_length,0.09600185251193427,0.015765427747345184,0.12632237314210765,0.12556045455216058,0.39305748822881714,0.12173562499999999,mean_relative_length,0.16926023093075673,0.2916510505176005
,mmlu_pro,MMLU-Pro,effective_budget,effective_budget,0.09842493326822917,0.017519734610823737,0.11895332031249997,0.13236213435429234,nan,0.12173562499999999,mean_relative_length,0.0901150204250673,0.2251579156334338
,mmlu_pro,MMLU-Pro,prompt_length_plus_effective_budget,prompt_length + effective_budget,0.09600185251193427,0.015765427747345184,0.12632237314210765,0.12556045455216058,0.39305748822881714,0.12173562499999999,mean_relative_length,0.16926023093075673,0.2916510505176005
0.05809741349716931,livecodebench,LiveCodeBench,prompt_length,prompt_length,0.1918787270172438,,0.14652483343778427,0.24103405049322246,0.19093539024714323,0.1484375,p_loop,0.11578947368421053,0.25263157894736843
0.058835395190647254,livecodebench,LiveCodeBench,effective_budget,effective_budget,0.1938503614018749,,0.14532115648599966,0.2425600857326845,nan,0.1484375,p_loop,0.031578947368421054,0.06315789473684211
0.05809741349716931,livecodebench,LiveCodeBench,prompt_length_plus_effective_budget,prompt_length + effective_budget,0.19187872701724382,,0.14652483343778427,0.24103405049322246,0.19093539024714323,0.1484375,p_loop,0.11578947368421053,0.25263157894736843
,livecodebench,LiveCodeBench,prompt_length,prompt_length,0.24583152130949965,0.07796809785144347,0.3793241188244138,0.2792276810265119,0.4049523277144553,0.4077647395833333,mean_relative_length,0.1369146297210031,0.24777333437389795
,livecodebench,LiveCodeBench,effective_budget,effective_budget,0.2614961979166667,0.0869564893599177,0.3760883723958334,0.2948838574081628,nan,0.4077647395833333,mean_relative_length,0.07355484671704211,0.14839809464275702
,livecodebench,LiveCodeBench,prompt_length_plus_effective_budget,prompt_length + effective_budget,0.24583152130949965,0.07796809785144347,0.3793241188244138,0.2792276810265119,0.4049523277144553,0.4077647395833333,mean_relative_length,0.1369146297210031,0.24777333437389795
