label,query_position_mode,dataset,final_layer,rows,prompt_token_share,previous_loop_token_share,current_trigger_token_share,other_completion_token_share,prompt_mass,previous_loop_mass,current_trigger_mass,other_completion_mass,prompt_enrichment,previous_loop_enrichment,current_trigger_enrichment,other_completion_enrichment
Trigger end,trigger_end,aime,27,30,0.016638142393850804,0.04912505998166812,0.0028694943185333553,0.9313673033059477,0.6269291887680689,0.037823860192050536,0.1764186148842176,0.15882833615566294,37.680239411809104,0.7699504123998052,61.48073329324031,0.17053243719410335
Trigger end,trigger_end,gpqa,27,121,0.056061256291265814,0.11572317717710531,0.006559331653184779,0.8216562348784439,0.6708687484756974,0.02508241779070871,0.17291286187477348,0.1311359718588204,11.966709147404835,0.2167449805869227,26.36135371975259,0.15959955793218158
Trigger end,trigger_end,livecodebench,27,462,0.057052078130746454,0.04881799602702598,0.0029554424974199433,0.8911744833448082,0.636797985344222,0.034381967752377424,0.17361983926200764,0.15520020764139283,11.161696579831322,0.7042887981994044,58.745801826147904,0.17415243652274057
Trigger end,trigger_end,math500,27,68,0.01951587908348674,0.07257028951673505,0.006236618867263128,0.9016772125325149,0.6338607195545646,0.029094366673448616,0.18530851191676714,0.1517364018552197,32.479229700234335,0.4009129199731154,29.71297683260349,0.16828239612382132
Trigger end,trigger_end,mmlu_pro,27,130,0.04782126114829364,0.09967932342749633,0.005294841563301795,0.8472045738609085,0.6198976585498223,0.026831388509330843,0.1852879273203703,0.16798302562047657,12.962804486220488,0.2691770729046648,34.994045639550194,0.19827917695833344
Trigger start,pre_trigger_start,aime,27,30,0.01669138876595156,0.04932117435362374,0.0,0.9339874368804248,0.6275306224822998,0.10669074921558301,0.0,0.2657786283021172,37.59607012224096,2.1631834726932895,0.0,0.2845633868372299
Trigger start,pre_trigger_start,gpqa,27,121,0.05658785266209807,0.11687086014815379,0.0,0.8265412871897475,0.6479443198393199,0.04548777499397801,0.0,0.30656790516670207,11.450236921135302,0.3892140002761551,0.0,0.3709045269946979
Trigger start,pre_trigger_start,livecodebench,27,462,0.05729197367654981,0.04902217600731452,0.0,0.8936858503161355,0.6302064703656481,0.08053960919342895,0.0,0.2892539204409229,10.999908537338417,1.6429219539624633,0.0,0.32366398140756203
Trigger start,pre_trigger_start,math500,27,68,0.019967150515988602,0.07325617096234514,0.0,0.9067766785216662,0.6188605471568949,0.08195224739885067,0.0,0.2991872054442544,30.993934094969894,1.1187077664893985,0.0,0.32994585384796676
Trigger start,pre_trigger_start,mmlu_pro,27,130,0.048132719473073515,0.10035713693042078,0.0,0.8515101435965055,0.6427800256472368,0.031505697317278154,0.0,0.3257142770354851,13.354325969610379,0.31393579251988385,0.0,0.38251367818094634
